counter,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
302,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.59399228009258,3902,32.36434105324074,777,SOLD OUT,SOLD OUT
303,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.63566351851853,3903,32.322669814814816,776,SOLD OUT,SOLD OUT
304,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.67736061342592,3904,32.28097271990741,775,SOLD OUT,SOLD OUT
305,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.7189865277778,3905,32.239346805555556,774,SOLD OUT,SOLD OUT
306,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.7606612037037,3906,32.19767212962963,773,SOLD OUT,SOLD OUT
307,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.80231976851852,3907,32.15601356481481,772,SOLD OUT,SOLD OUT
308,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.8439974537037,3908,32.11433587962963,771,SOLD OUT,SOLD OUT
309,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.88565828703705,3909,32.0726750462963,770,SOLD OUT,SOLD OUT
310,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.92732797453704,3910,32.0310053587963,769,SOLD OUT,SOLD OUT
311,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.96899841435186,3911,31.98933491898148,768,SOLD OUT,SOLD OUT
312,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.0106578240741,3912,31.94767550925926,767,SOLD OUT,SOLD OUT
313,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.05232512731482,3913,31.90600820601852,766,SOLD OUT,SOLD OUT
314,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.09399780092593,3914,31.864335532407406,765,SOLD OUT,SOLD OUT
315,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.13566532407407,3915,31.82266800925926,764,SOLD OUT,SOLD OUT
316,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.17733284722223,3916,31.78100048611111,763,SOLD OUT,SOLD OUT
317,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.21900314814815,3917,31.739330185185185,762,SOLD OUT,SOLD OUT
318,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.26066701388888,3918,31.697666319444444,761,SOLD OUT,SOLD OUT
319,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.30233930555556,3919,31.655994027777776,760,SOLD OUT,SOLD OUT
320,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.3440063310185,3920,31.614327002314816,759,SOLD OUT,SOLD OUT
321,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.3856669212963,3921,31.572666412037037,758,SOLD OUT,SOLD OUT
323,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.46901866898148,3923,31.489314664351852,756,SOLD OUT,SOLD OUT
324,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.5106812037037,3924,31.44765212962963,755,SOLD OUT,SOLD OUT
325,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.55233709490741,3925,31.405996238425924,754,SOLD OUT,SOLD OUT
326,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.59400761574074,3926,31.364325717592592,753,SOLD OUT,SOLD OUT
327,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.63569628472223,3927,31.32263704861111,752,SOLD OUT,SOLD OUT
328,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.67733657407408,3928,31.28099675925926,751,SOLD OUT,SOLD OUT
329,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.71900333333335,3929,31.23933,750,SOLD OUT,SOLD OUT
330,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.76067508101852,3930,31.197658252314813,749,SOLD OUT,SOLD OUT
331,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.8108393287037,3931,31.14749400462963,748,SOLD OUT,SOLD OUT
332,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,163.96609530092593,3935,30.992238032407407,744,SOLD OUT,SOLD OUT
333,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.00768364583334,3936,30.9506496875,743,SOLD OUT,SOLD OUT
334,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.04934505787037,3937,30.908988275462963,742,SOLD OUT,SOLD OUT
335,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.09102998842593,3938,30.86730334490741,741,SOLD OUT,SOLD OUT
336,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.13268366898149,3939,30.82564966435185,740,SOLD OUT,SOLD OUT
337,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.17435405092593,3940,30.783979282407408,739,SOLD OUT,SOLD OUT
338,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.21605385416666,3941,30.742279479166665,738,SOLD OUT,SOLD OUT
339,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.2576925925926,3942,30.70064074074074,737,SOLD OUT,SOLD OUT
340,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.29935792824074,3943,30.658975405092594,736,SOLD OUT,SOLD OUT
341,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.34102577546295,3944,30.61730755787037,735,SOLD OUT,SOLD OUT
342,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.3826939351852,3945,30.575639398148148,734,SOLD OUT,SOLD OUT
343,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.42438653935184,3946,30.53394679398148,733,SOLD OUT,SOLD OUT
344,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.46604358796296,3947,30.49228974537037,732,SOLD OUT,SOLD OUT
345,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.50770936342593,3948,30.450623969907408,731,SOLD OUT,SOLD OUT
346,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.54937491898147,3949,30.40895841435185,730,SOLD OUT,SOLD OUT
347,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.5910519212963,3950,30.367281412037038,729,SOLD OUT,SOLD OUT
348,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.6327293402778,3951,30.325603993055555,728,SOLD OUT,SOLD OUT
349,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.67438766203705,3952,30.283945671296298,727,SOLD OUT,SOLD OUT
350,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.7160516087963,3953,30.242281724537037,726,SOLD OUT,SOLD OUT
351,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.75771655092592,3954,30.20061678240741,725,SOLD OUT,SOLD OUT
352,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.79938255787036,3955,30.158950775462962,724,SOLD OUT,SOLD OUT
354,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.8827200925926,3957,30.07561324074074,722,SOLD OUT,SOLD OUT
355,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.92438825231483,3958,30.03394508101852,721,SOLD OUT,SOLD OUT
356,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,164.96604336805555,3959,29.992289965277777,720,SOLD OUT,SOLD OUT
357,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.00772663194445,3960,29.95060670138889,719,SOLD OUT,SOLD OUT
358,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.04940859953703,3961,29.908924733796297,718,SOLD OUT,SOLD OUT
359,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.09105251157408,3962,29.86728082175926,717,SOLD OUT,SOLD OUT
360,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.1327183912037,3963,29.82561494212963,716,SOLD OUT,SOLD OUT
361,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.1743871412037,3964,29.78394619212963,715,SOLD OUT,SOLD OUT
363,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.25771974537037,3966,29.700613587962962,713,SOLD OUT,SOLD OUT
364,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.2994048148148,3967,29.65892851851852,712,SOLD OUT,SOLD OUT
365,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.3410626851852,3968,29.61727064814815,711,SOLD OUT,SOLD OUT
366,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.3827282986111,3969,29.575605034722223,710,SOLD OUT,SOLD OUT
367,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.42439266203704,3970,29.533940671296296,709,SOLD OUT,SOLD OUT
368,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.4661142939815,3971,29.492219039351852,708,SOLD OUT,SOLD OUT
